url,category,source
http://feeds.reuters.com/Reuters/domesticNews,News,Reuters
http://feeds.reuters.com/Reuters/worldNews,News,Reuters
http://feeds.reuters.com/reuters/businessNews,Business,Reuters
http://feeds.reuters.com/reuters/entertainment,Entertainment,Reuters
http://feeds.reuters.com/reuters/environment,Science,Reuters
http://feeds.reuters.com/reuters/healthNews,Health,Reuters
http://feeds.reuters.com/reuters/scienceNews,Science,Reuters
http://feeds.reuters.com/reuters/sportsNews,Sports,Reuters
http://feeds.reuters.com/reuters/technologyNews,Technology,Reuters
http://feeds.reuters.com/reuters/companyNews,Business,Reuters
http://feeds.reuters.com/reuters/peopleNews,Entertainment,Reuters
http://rss.cnn.com/rss/cnn_world.rss,News,CNN
http://rss.cnn.com/rss/cnn_us.rss,News,CNN
http://rss.cnn.com/rss/cnn_allpolitics.rss,News,CNN
http://rss.cnn.com/rss/cnn_health.rss,Health,CNN
http://rss.cnn.com/rss/cnn_showbiz.rss,Entertainment,CNN
http://feeds.foxnews.com/foxnews/entertainment,Entertainment,Fox News
http://feeds.foxnews.com/foxnews/health,Health,Fox News
http://feeds.foxnews.com/foxnews/politics,News,Fox News
http://feeds.foxnews.com/foxnews/science,Science,Fox News
http://feeds.foxnews.com/foxnews/sports,Sports,Fox News
http://feeds.foxnews.com/foxnews/tech,Technology,Fox News
http://feeds.foxnews.com/foxnews/national,News,Fox News
http://feeds.foxnews.com/foxnews/world,News,Fox News
http://feeds.bbci.co.uk/news/rss.xml,News,BBC
http://feeds.bbci.co.uk/news/world/rss.xml,News,BBC
http://feeds.bbci.co.uk/news/uk/rss.xml,News,BBC
http://feeds.bbci.co.uk/news/business/rss.xml,Business,BBC
http://feeds.bbci.co.uk/news/politics/rss.xml,News,BBC
http://feeds.bbci.co.uk/news/health/rss.xml,Health,BBC
http://feeds.bbci.co.uk/news/science_and_environment/rss.xml,Science,BBC
http://feeds.bbci.co.uk/news/technology/rss.xml,Technology,BBC
http://feeds.bbci.co.uk/news/entertainment_and_arts/rss.xml,Entertainment,BBC
http://rss.nytimes.com/services/xml/rss/nyt/US.xml,News,New York Times
http://rss.nytimes.com/services/xml/rss/nyt/Politics.xml,News,New York Times
http://rss.nytimes.com/services/xml/rss/nyt/World.xml,News,New York Times
http://rss.nytimes.com/services/xml/rss/nyt/Business.xml,Business,New York Times
http://rss.nytimes.com/services/xml/rss/nyt/Technology.xml,Technology,New York Times
http://rss.nytimes.com/services/xml/rss/nyt/Sports.xml,Sports,New York Times
http://rss.nytimes.com/services/xml/rss/nyt/Science.xml,Science,New York Times
http://rss.nytimes.com/services/xml/rss/nyt/Health.xml,Health,New York Times
http://rss.nytimes.com/services/xml/rss/nyt/Arts.xml,Entertainment,New York Times
http://rss.nytimes.com/services/xml/rss/nyt/Television.xml,Entertainment,New York Times
http://rss.nytimes.com/services/xml/rss/nyt/Movies.xml,Entertainment,New York Times
http://rss.nytimes.com/services/xml/rss/nyt/Music.xml,Entertainment,New York Times
https://feeds.a.dj.com/rss/RSSWorldNews.xml,News,Wall Street Journal
https://feeds.a.dj.com/rss/WSJcomUSBusiness.xml,Business,Wall Street Journal
https://feeds.a.dj.com/rss/RSSWSJD.xml,Technology,Wall Street Journal
http://feeds.washingtonpost.com/rss/politics,News,Washington Post
http://feeds.washingtonpost.com/rss/sports,Sports,Washington Post
http://feeds.washingtonpost.com/rss/national,News,Washington Post
http://feeds.washingtonpost.com/rss/world,News,Washington Post
http://feeds.washingtonpost.com/rss/business,Business,Washington Post
http://feeds.washingtonpost.com/rss/entertainment,Entertainment,Washington Post
http://www.msnbc.com/feeds/latest,News,MSNBC
http://www.cnbc.com/id/100727362/device/rss/rss.html,News,CNBC
http://www.cnbc.com/id/15837362/device/rss/rss.html,News,CNBC
http://www.cnbc.com/id/10001147/device/rss/rss.html,Business,CNBC
http://www.cnbc.com/id/19854910/device/rss/rss.html,Technology,CNBC
http://www.cnbc.com/id/10000113/device/rss/rss.html,News,CNBC
http://www.cnbc.com/id/10000108/device/rss/rss.html,Science,CNBC
http://www.cnbc.com/id/10000110/device/rss/rss.html,Entertainment,CNBC
http://feeds.abcnews.com/abcnews/internationalheadlines,News,ABC News
http://feeds.abcnews.com/abcnews/usheadlines,News,ABC News
http://feeds.abcnews.com/abcnews/moneyheadlines,Business,ABC News
http://feeds.abcnews.com/abcnews/technologyheadlines,Technology,ABC News
http://feeds.abcnews.com/abcnews/healthheadlines,Health,ABC News
http://feeds.abcnews.com/abcnews/entertainmentheadlines,Entertainment,ABC News
http://rssfeeds.usatoday.com/usatoday-NewsTopStories,News,USA Today
http://rssfeeds.usatoday.com/UsatodaycomWorld-TopStories,News,USA Today
http://rssfeeds.usatoday.com/UsatodaycomSports-TopStories,Sports,USA Today
http://rssfeeds.usatoday.com/UsatodaycomMoney-TopStories,Business,USA Today
http://rssfeeds.usatoday.com/usatoday-TechTopStories,Technology,USA Today
https://www.pbs.org/newshour/feeds/rss/world,News,PBS News Hour
https://www.pbs.org/newshour/feeds/rss/economy,Business,PBS News Hour
https://www.pbs.org/newshour/feeds/rss/science,Science,PBS News Hour
https://www.pbs.org/newshour/feeds/rss/health,Health,PBS News Hour
https://www.pbs.org/newshour/feeds/rss/politics,News,PBS News Hour
https://www.pbs.org/newshour/feeds/rss/nation,News,PBS News Hour
https://www.huffingtonpost.com/dept/entertainment/feed,Entertainment,Huffington Post
https://www.huffingtonpost.com/section/healthy-living/feed,Health,Huffington Post
https://www.huffingtonpost.com/section/politics/feed,News,Huffington Post
https://www.huffingtonpost.com/section/sports/feed,Sports,Huffington Post
